City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Norman Wells,CA,65.282,-126.8329,10.44,85,75,5.75,broken clouds
80,Lebu,CL,-37.6167,-73.65,61.54,78,24,9.13,few clouds
81,Bredasdorp,ZA,-34.5322,20.0403,63.19,81,54,10.51,light rain
82,Rocha,UY,-34.4833,-54.3333,66.99,57,0,12.35,clear sky
83,Naze,JP,28.3667,129.4833,65.32,68,100,12.55,overcast clouds
84,Yar-Sale,RU,66.8333,70.8333,-11.22,93,25,4.25,scattered clouds
85,Bengkulu,ID,-3.8004,102.2655,75.52,87,100,9.57,light rain
86,Hondo,JP,32.45,130.2,57.76,55,0,8.25,clear sky
87,Buala,SB,-8.145,159.5921,82.27,75,87,4.27,light rain
88,Bluff,NZ,-46.6,168.3333,58.8,67,100,3.24,overcast clouds
89,Hauterive,FR,46.0901,3.4459,57.96,93,100,7.76,light rain
90,Asau,RO,46.4333,26.4,36.52,63,44,5.32,scattered clouds
91,Cabo San Lucas,MX,22.8909,-109.9124,83.61,62,10,4.0,clear sky
92,Walvis Bay,NA,-22.9575,14.5053,60.1,82,0,6.91,clear sky
93,Calamar,CO,10.2511,-74.9146,83.48,81,92,7.47,moderate rain
94,Hithadhoo,MV,-0.6,73.0833,81.3,77,97,15.59,overcast clouds
95,West Helena,US,34.5507,-90.6418,46.15,53,57,12.95,broken clouds
96,Bowen,AU,-20.0167,148.2333,78.89,75,95,4.59,overcast clouds
97,Boende,CD,-0.2167,20.8667,70.97,98,100,1.59,moderate rain
98,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,40,0,6.91,clear sky
99,Tiksi,RU,71.6872,128.8694,-20.2,99,80,8.05,broken clouds
100,Khatanga,RU,71.9667,102.5,-8.23,97,99,12.03,overcast clouds
101,Bonanza,NI,14.0289,-84.591,85.37,59,83,3.22,broken clouds
102,Lubango,AO,-14.9172,13.4925,63.27,38,90,1.3,overcast clouds
103,Nantucket,US,41.2835,-70.0995,46.54,69,88,6.08,overcast clouds
104,Koungou,YT,-12.7336,45.2042,74.91,88,0,2.3,clear sky
105,Severo-Kurilsk,RU,50.6789,156.125,34.5,80,96,22.01,light snow
106,Kudahuvadhoo,MV,2.6708,72.8944,81.1,74,78,12.84,broken clouds
